"Source:","C:\Users\matth\Desktop\AeroNU\FixedWing\BMS\bms-pcb-design\bms-kicad-project\bms-board.kicad_sch"
"Date:","5/6/2026 10:45:59 PM"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Users\matth\AppData\Local\Programs\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","369"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Arrow Part Number","Arrow Price/Stock","Height","MAXIMUM_PACKAGE_HEIGHT","Manufacturer","Manufacturer Name","Manufacturer Part Number","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","SNAPEDA_PN","STANDARD","Tutorial","category","composition","device class L1","device class L2","device class L3","digikey description","digikey part number","height","ipc land pattern name","lead free","library id","mouser description","mouser part number","package","power","power rating","resistance","rohs","series","temperature coefficient","temperature range high","temperature range low","tolerance","voltage rating"
"16","1","C88","100p","FixedWing:C0805C101J1GACTU","FixedWing:CAPC220145_88N_KEM","https://search.kemet.com/download/datasheet/C0805C101J1GAC7800","DNP","","","","","KEMET","","C0805C101J1GACTU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","1","C89","22n","FixedWing:AC0805JRX7R0BB223","FixedWing:CAPC2012X95N","https://yageogroup.com/content/datasheet/asset/file/UPY-AC_NP0X7RX7S_6_3V-TO-2KV","","","","","","YAGEO","","AC0805JRX7R0BB223","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","4","C90, C91, C92, C93","1µ","FixedWing:GCM21BR71C105KA58L","FixedWing:CAPC2012X140N","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM21BR71C105KA58-01.pdf","","","","","","Murata Electronics","","GCM21BR71C105KA58L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","1","CR1","USBLC6-2SC6","FixedWing:USBLC6-2SC6","FixedWing:SOT23-6L_STM","https://www.st.com/content/ccc/resource/technical/document/datasheet/06/1d/48/9c/6c/20/4a/b2/CD00050750.pdf/files/CD00050750.pdf/jcr:content/translations/en.CD00050750.pdf","","","","","","STMicroelectronics","","USBLC6-2SC6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","6","D1, D3, D4, D17, D18, D19","100V","FixedWing:BAS100AS_R1_00001","FixedWing:D_SOD-123","https://www.panjit.com.tw/upload/datasheet/BAS100AS.pdf","","","","","","Panjit International Inc.","","BAS100AS_R1_00001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","4","D5, D6, D8, D9","GG060303100N2P","FixedWing:GG060303100N2P","FixedWing:DIONC1608X70N","https://datasheets.kyocera-avx.com/AVX-GiGuard.pdf","","","","0.7","","Kyocera AVX","","GG060303100N2P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","8","D7, D10, D11, D12, D13, D14, D15, D16","GG0603052R542P","FixedWing:GG0603052R542P","FixedWing:DIONC1608X70N","https://datasheets.kyocera-avx.com/AVX-GiGuard.pdf","","","","0.7","","Kyocera AVX","","GG0603052R542P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","7","H1, H2, H3, H4, H5, H6, H7","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad","~","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","1","J1","S13B-XH-A","FixedWing:S13B-XH-A","FixedWing:S13BXHALFSN","http://www.jst-mfg.com/product/pdf/eng/eXH.pdf","","","","6.1","","JST (JAPAN SOLDERLESS TERMINALS)","","S13B-XH-A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","1","J2","1053141308","FixedWing:1053141308","FixedWing:CONN_SD-105314-100_08_MOL","https://tools.molex.com/pdm_docs/ps/PS-105300-100-001.pdf","","","","","","Molex","","1053141308","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","1","J3","12402012E212A","FixedWing:12402012E212A","FixedWing:AMPHENOL_12402012E212A","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2614/C12402012-4.pdf","","","","","3.26 mm","Amphenol","","12402012E212A","","","","","4","","Manufacturer Recommendations","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","1","J4","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","1","J5","Conn_02x04_Odd_Even","Connector_Generic:Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","4","J6, J8, J9, J10","XT60PW-F","FixedWing:XT60PW-F","FixedWing:XT60PWF","https://www.tme.eu/Document/1191bc2fa3aee3c446e5a895fd8f7983/XT60PW-F.pdf","","","","8.4","","Amass","Amass","XT60PW-F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","1","J7","XT60PW-M","FixedWing:XT60PW-M","FixedWing:XT60PWM_Pad","https://www.tme.eu/Document/9b8d0c5eb7094295f3d3112c214d3ade/XT60PW%20SPEC.pdf","","","","8.4","","Changzou Amass Elec","Changzou Amass Elec","XT60PW-M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31","1","J11","1053131303","FixedWing:1053131303","FixedWing:105313YY03","https://www.molex.com/pdm_docs/sd/1053131102_sd.pdf","","1053131303","https://www.arrow.com/en/products/1053131303/molex?region=nac","6.54","","Molex","Molex","1053131303","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","1","J12","XT60PW-F","FixedWing:XT60PW-F","FixedWing:XT60PWF_Pad","https://www.tme.eu/Document/1191bc2fa3aee3c446e5a895fd8f7983/XT60PW-F.pdf","","","","8.4","","Amass","Amass","XT60PW-F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","1","J13","5024940670","FixedWing:5024940670","FixedWing:5024940670","https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/502/502494/5024940670_sd.pdf","","","","7.1","","Molex","Molex","5024940670","","","538-502494-0670","https://www.mouser.co.uk/ProductDetail/Molex/502494-0670?qs=zRnNmUVysJflJNy8qKc1Eg%3D%3D","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","4","J14, J15, J16, J17","1053131302","FixedWing:1053131302","FixedWing:105313YY02","https://www.molex.com/pdm_docs/sd/1053131102_sd.pdf","","1053131302","https://www.arrow.com/en/products/1053131302/molex?region=nac","6.54","","Molex","","1053131302","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","1","J18","SM06B-GHS-TB","FixedWing:SM06B-GHS-TB_LF__SN_","FixedWing:SM06B-GHS-TB","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/e4ef010dc292ea31091454f6c0afb63a.pdf","","SM06B-GHS-TB(LF)(SN)","https://www.arrow.com/en/products/sm06b-ghs-tb-lf-sn/jst-manufacturing","","","JST (JAPAN SOLDERLESS TERMINALS)","JST (JAPAN SOLDERLESS TERMINALS)","SM06B-GHS-TB(LF)(SN)","","","306-SM06BGHSTBLFSN","https://www.mouser.co.uk/ProductDetail/JST-Commercial/SM06B-GHS-TBLFSN?qs=dbcCsuKDzFVtzW8gaymizQ%3D%3D","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","1","L1","5.6u","FixedWing:IHLP6767GZER5R6M01","FixedWing:IND_IHLP-6767GZ_VIS","https://www.vishay.com/docs/34000/ihlp-6767gz-01.pdf","","","","","","Vishay Dale","","IHLP6767GZER5R6M01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","12","LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12","LTST-C170KRKT","FixedWing:LTST-C170KRKT","LEDC2012X120N","https://componentsearchengine.com/Datasheets/1/LTST-C170KRKT.pdf","","","","1.2","","Lite-On","","LTST-C170KRKT","","","859-LTST-C170KRKT","https://www.mouser.co.uk/ProductDetail/Lite-On/LTST-C170KRKT?qs=NUb82WqeCyrVOID%2Fxt4rgA%3D%3D","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","4","LED13, LED14, LED15, LED17","LTST-C170KGKT","FixedWing:LTST-C170KGKT","FixedWing:LED_LTST-C170KGKT_LTO","https://optoelectronics.liteon.com/upload/download/DS22-2000-073/LTST-C170KGKT.pdf","","","","","","Lite-On Inc.","","LTST-C170KGKT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
