"Source:","C:\Users\matth\Desktop\AeroNU\FixedWing\BMS\bms-pcb-design\bms-kicad-project\bms-board.kicad_sch"
"Date:","5/6/2026 10:45:59 PM"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Users\matth\AppData\Local\Programs\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","369"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Arrow Part Number","Arrow Price/Stock","Height","MAXIMUM_PACKAGE_HEIGHT","Manufacturer","Manufacturer Name","Manufacturer Part Number","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","SNAPEDA_PN","STANDARD","Tutorial","category","composition","device class L1","device class L2","device class L3","digikey description","digikey part number","height","ipc land pattern name","lead free","library id","mouser description","mouser part number","package","power","power rating","resistance","rohs","series","temperature coefficient","temperature range high","temperature range low","tolerance","voltage rating"
"61","1","R111","54.9k","FixedWing:RC0805FR-0754K9L","FixedWing:RC0805N_YAG","https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","","","","","","YAGEO","","RC0805FR-0754K9L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62","2","R127, R133","8.16k","FixedWing:RT0805BRD078K16L","FixedWing:RC0805N_YAG","https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf","","","","","","YAGEO","","RT0805BRD078K16L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","1","R143","300","FixedWing:LTR18EZPJ301","FixedWing:RES_R1632_ROM","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr-e.pdf","","","","","","Rohm Semiconductor","","LTR18EZPJ301","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","2","SW1, SW2","PTS810SJG250SMTRLFS","FixedWing:PTS810SJG250SMTRLFS","FixedWing:PTS810","https://www.littelfuse.com/assetdocs/littelfuse-c-k-tactile-pts810-series-datasheet?assetguid=f1e4bc97-66e9-4beb-99c6-eaef0bd3bff4","","","","","","C&K","","PTS810SJG250SMTR LFS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65","2","TP2, TP3","5261","FixedWing:5261","FixedWing:KEYSTONE_5261","https://www.keyelco.com/product-pdf.cfm?p=14608","","","","","4.57 mm","Keystone","","5261","","","","","H","5000","Manufacturer Recommendations","","","","","","","","","","","","","","","","","","","","","","","","",""
"66","21","TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25","~","FixedWing:TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67","1","U1","TMUX7208PWR","FixedWing:TMUX7208PWR","FixedWing:TSSOP16-PW_TEX","https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftmux7208","","","","","","Texas Instruments","","TMUX7208PWR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","1","U2","BQ7697204PFBR","FixedWing:BQ7697202PFBR","QFP50P900X900X120-48N","https://www.ti.com/lit/gpn/bq76972","","","","1.2","","Texas Instruments","","BQ7697204PFBR","","","595-BQ7697202PFBR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/BQ7697202PFBR?qs=mELouGlnn3fFp8K94q2bwQ%3D%3D","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69","1","U3","SIC461ED-T1-GE3","FixedWing:SIC461ED-T1-GE3","FixedWing:CONV_SIC461ED-T1-GE3","https://www.vishay.com/docs/65124/sic46x.pdf","","","","","","Vishay Siliconix","","SIC461ED-T1-GE3","","","","","M","","Manufacturer Recommendations","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","1","U4","W25Q128JVSIQ TR","FixedWing:W25Q128JVSIQ_TR","FixedWing:SOIC_208MIL_WIN","https://www.winbond.com/resource-files/w25q128jv%20revf%2003272018%20plus.pdf","","","","","","Winbond Electronics","","W25Q128JVSIQ TR","","W25Q128JVSIQ TR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","1","U5","AP2114H-3.3TRG1","FixedWing:AP2114H-3.3TRG1","FixedWing:SOT223-3_ONS","https://www.diodes.com/assets/Datasheets/AP2114.pdf","","","","","","Diodes Incorporated","","AP2114H-3.3TRG1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","1","U6","RP2040","FixedWing:RP2040","FixedWing:RP2040-QFN-56","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf","","","","","","Raspberry Pi","","SC0914(13)","","SC0914(13)","","","","","","https://datasheets.raspberrypi.com/rp2040/hardware-design-with-rp2040.pdf","","","","","","","","","","","","","","","","","","","","","","","",""
"73","1","U7","LM4040D30IDBZR","FixedWing:LM4040D30IDBZR","FixedWing:DBZ3_TEX","https://www.ti.com/lit/ds/symlink/lm4040.pdf?ts=1725548576424&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FLM4040%253FkeyMatch%253DLM4040%2526tisearch%253Duniversal_search%2526usecase%253DGPN-ALT","","","","","","Texas Instruments","","LM4040D30IDBZR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74","1","U8","MCP4726A0T-E/CH","FixedWing:MCP4726A0T-E_CH","FixedWing:SOT-23-6_MC_MCH","https://ww1.microchip.com/downloads/en/DeviceDoc/22272C.pdf","","","","","","Microchip Technology","","MCP4726A0T-E/CH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75","1","U9","MCP9700AT-E/TT","FixedWing:MCP9700AT-E_TT","FixedWing:SOT-23_MC_MCH","https://ww1.microchip.com/downloads/aemDocuments/documents/MSLD/ProductDocuments/DataSheets/MCP970X-Family-Data-Sheet-DS20001942.pdf","","","","","","Microchip Technology","","MCP9700AT-E/TT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","1","U10","74LVC1T45W6-7","FixedWing:74LVC1T45W6-7","FixedWing:SOT26-6_DIO","https://www.diodes.com/assets/Datasheets/74LVC1T45.pdf","","","","","","Diodes Incorporated","","74LVC1T45W6-7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77","1","U11","LM66100DCKR",":LM66100DCKR_1","FixedWing:DCK6_TEX","https://www.ti.com/lit/gpn/lm66100","","","","","","Texas Instruments","","LM66100DCKR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78","1","U12","LM66100DCKR","FixedWing:LM66100DCKR","FixedWing:DCK6_TEX","https://www.ti.com/lit/gpn/lm66100","","","","","","Texas Instruments","","LM66100DCKR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","1","U13","BCP5616TA","FixedWing:BCP5616TA","FixedWing:SOT-223_DIO","https://www.diodes.com/assets/Datasheets/BCP54_55_56.pdf","","","","","","Diodes Incorporated","","BCP5616TA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","1","X1","ABM8-272-T3","FixedWing:ABM8-272-T3","FixedWing:ABM8-272-T3_ABR","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6128/ABM8-272-T3.pdf","","","","","","Abracon LLC","","ABM8-272-T3","","ABM8-272-T3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81","1","X2","PKMCS0909E4000-R1","FixedWing:PKMCS0909E4000-R1","FixedWing:PKMCS0909E4000-R1_MUR","https://www.murata.com/~/media/webrenewal/products/sound/sounder/vppt-buzj083-d.ashx","","","","","","Murata Electronics","","PKMCS0909E4000-R1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82","12","Z1, Z2, Z3, Z4, Z5, Z6, Z7, Z8, Z9, Z10, Z11, Z12","BZT52C5V6T-7","FixedWing:BZT52C5V6T-7","FixedWing:BZT52C5V6T7","https://www.diodes.com/datasheet/download/BZT52CxxT.pdf","","BZT52C5V6T-7","https://www.arrow.com/en/products/bzt52c5v6t-7/diodes-incorporated?region=nac","0.65","","Diodes Incorporated","","BZT52C5V6T-7","","","621-BZT52C5V6T-7","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/BZT52C5V6T-7?qs=zLeapIUCO8Tm%252BIuaCPAdkQ%3D%3D","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
