"#","Reference","Qty","Value","Footprint","DNP","Manufacturer Part Number","Manufacturer"
"47","R66, R79, R80, R81, R83, R84, R85, R86, R87, R88, R104, R141","12","0","FixedWing:RES_CRCW_0805_VIS","","CRCW08050000Z0EA","Vishay Dale"
"48","R71, R72, R73, R74, R75, R76, R77, R78, R89, R90, R91","11","0","FixedWing:RES_CRCW_0805_VIS","DNP","CRCW08050000Z0EA","Vishay Dale"
"49","R94","1","1m","FixedWing:RES_5930R","","SEWF5930F1L00P9","RESI"
"50","R96, R102, R105, R115, R117, R137, R138","7","1k","FixedWing:RC0805N_YAG","","RC0805FR-071KL","YAGEO"
"51","R97","1","562k","FixedWing:RESC2012X60N","","RC0805FR-07562KL","YAGEO"
"52","R98, R99","2","100k","FixedWing:RESC2012X60N","","RC0805FR-07100KL","YAGEO"
"53","R100","1","523k","FixedWing:RC0805N_YAG","","RC0805FR-07523KL","YAGEO"
"54","R101","1","93.1k","FixedWing:RESC2012X60N","","RC0805FR-0793K1L","YAGEO"
"55","R103","1","41.2k","FixedWing:RC0805N_VIS","","CRCW080541K2FKEA","Vishay Dale"
"56","R106","1","90.9k","FixedWing:RC0805N_YAG","","RC0805FR-0790K9L","YAGEO"
"57","R107","1","3.3","FixedWing:RESC1608X55N","","RK73H1JTTD3R30F","KOA Speer Electronics, Inc."
"58","R108, R112, R113, R114, R116, R125, R126, R129, R130, R131, R132","11","5.1k","FixedWing:RESC2012X60N","","RC0805JR-075K1L","YAGEO"
"59","R110","1","11.3k","FixedWing:RC0805N_YAG","","RC0805FR-0711K3L","YAGEO"
"60","R111","1","54.9k","FixedWing:RC0805N_YAG","","RC0805FR-0754K9L","YAGEO"
"61","R127, R133","2","8.16k","FixedWing:RC0805N_YAG","","RT0805BRD078K16L","YAGEO"
"62","R143","1","300","FixedWing:RES_R1632_ROM","","LTR18EZPJ301","Rohm Semiconductor"
"63","SW1, SW2","2","PTS810SJG250SMTRLFS","FixedWing:PTS810","","PTS810SJG250SMTR LFS","C&K"
"64","TP2, TP3","2","5261","FixedWing:KEYSTONE_5261","","5261","Keystone"
"65","TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25","21","~","TestPoint:TestPoint_Pad_D1.0mm","","",""
"66","U1","1","TMUX7208PWR","FixedWing:TSSOP16-PW_TEX","","TMUX7208PWR","Texas Instruments"
"67","U2","1","BQ7697204PFBR","QFP50P900X900X120-48N","","BQ7697204PFBR","Texas Instruments"
"68","U3","1","SIC461ED-T1-GE3","FixedWing:CONV_SIC461ED-T1-GE3","","SIC461ED-T1-GE3","Vishay Siliconix"
"69","U4","1","W25Q128JVSIQ TR","FixedWing:SOIC_208MIL_WIN","","W25Q128JVSIQ TR","Winbond Electronics"
"70","U5","1","AP2114H-3.3TRG1","FixedWing:SOT223-3_ONS","","AP2114H-3.3TRG1","Diodes Incorporated"
"71","U6","1","RP2040","FixedWing:RP2040-QFN-56","","SC0914(13)","Raspberry Pi"
"72","U7","1","LM4040D30IDBZR","FixedWing:DBZ3_TEX","","LM4040D30IDBZR","Texas Instruments"
"73","U8","1","MCP4726A0T-E/CH","FixedWing:SOT-23-6_MC_MCH","","MCP4726A0T-E/CH","Microchip Technology"
"74","U9","1","MCP9700AT-E/TT","FixedWing:SOT-23_MC_MCH","","MCP9700AT-E/TT","Microchip Technology"
"75","U10","1","74LVC1T45W6-7","FixedWing:SOT26-6_DIO","","74LVC1T45W6-7","Diodes Incorporated"
"76","U11, U12","2","LM66100DCKR","FixedWing:DCK6_TEX","","LM66100DCKR","Texas Instruments"
"77","U13","1","BCP5616TA","FixedWing:SOT-223_DIO","","BCP5616TA","Diodes Incorporated"
"78","X1","1","ABM8-272-T3","FixedWing:ABM8-272-T3_ABR","","ABM8-272-T3","Abracon LLC"
"79","X2","1","PKMCS0909E4000-R1","FixedWing:PKMCS0909E4000-R1_MUR","","PKMCS0909E4000-R1","Murata Electronics"
"80","Z1, Z2, Z3, Z4, Z5, Z6, Z7, Z8, Z9, Z10, Z11, Z12","12","BZT52C5V6T-7","FixedWing:BZT52C5V6T7","","BZT52C5V6T-7","Diodes Incorporated"
